"vacc_self","vacc_others01","vacc_others02","vacc_others03","vacc_others04","vacc_others05","masks_self","masks_others_never","masks_others_sometimes","masks_others_half","masks_others_often","masks_others_always","testing_self","testing_others_never","testing_others_sometimes","testing_others_half","testing_others_often","testing_others_always"
5,15,11,16,20,38,5,4,8,8,21,59,3,4,10,14,24,48
5,8,9,9,35,39,5,0,0,40,0,60,2,0,0,0,60,40
4,20,20,20,20,20,NA,20,20,20,20,20,2,20,20,20,20,20
5,10,10,20,20,40,5,5,5,10,30,50,4,10,10,20,40,20
2,66,34,0,0,0,3,23,22,22,23,10,2,21,16,21,16,26
NA,0,0,0,0,100,5,0,0,0,0,100,2,0,0,0,0,100
4,27,0,12,61,0,4,0,0,0,100,0,3,0,34,66,0,0
1,74,0,14,0,12,3,0,0,0,100,0,1,0,100,0,0,0
5,20,20,20,20,20,4,20,20,20,20,20,5,20,20,20,40,0
4,20,25,15,20,20,2,0,0,100,0,0,2,0,100,0,0,0
1,100,0,0,0,0,2,100,0,0,0,0,1,100,0,0,0,0
3,75,15,5,5,0,2,60,25,15,0,0,5,10,9,9,45,27
2,54,40,6,0,0,NA,32,0,52,16,0,NA,64,0,0,5,31
1,99,1,0,0,0,2,99,1,0,0,0,1,99,1,0,0,0
5,20,5,10,30,35,4,5,5,20,70,0,4,0,0,15,80,5
5,10,20,5,5,60,5,5,5,10,10,70,4,5,10,20,30,35
1,50,0,50,0,0,5,0,0,0,0,100,1,100,0,0,0,0
5,5,10,15,20,50,4,0,6,15,30,49,5,0,15,10,10,65
5,15,8,7,19,51,5,0,4,9,30,57,3,19,21,21,20,19
5,0,10,0,90,0,NA,0,0,0,56,44,2,80,10,10,0,0
2,10,30,20,30,10,5,5,5,10,15,65,3,5,20,55,10,10
5,0,0,0,0,100,5,0,0,0,0,100,5,0,0,0,0,100
1,50,50,0,0,0,4,0,0,0,50,50,3,0,100,0,0,0
3,15,24,0,61,0,4,3,0,0,82,15,1,9,41,50,0,0
